experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,threshold_analysis_file,eer,accuracy,precision,recall,roc_auc,tar,far,frr,trr,num_pairs,num_genuine,num_impostor,avg_inlier_ratio
face_multipie_500_expression_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,sift,sift-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_expression_change.csv,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/evaluation/sift-fingervein_threshold_analysis.json,0.06,0.93,0.9694323144104804,0.888,0.984424,0.888,0.028,0.112,0.972,500,250,250,0.35704614858708794
face_multipie_500_expression_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,superglue,superglue-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_expression_change.csv,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/evaluation/superglue-fingervein_threshold_analysis.json,0.036,0.54,0.5208333333333334,1.0,0.988128,1.0,0.92,0.0,0.08,500,250,250,0.3553054107397063
face_multipie_500_expression_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,sgmnet,sgmnet-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_expression_change.csv,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/evaluation/sgmnet-fingervein_threshold_analysis.json,0.02,0.912,1.0,0.824,0.994936,0.824,0.0,0.176,1.0,500,250,250,0.1833048948822451
face_multipie_500_expression_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,aspanformer,aspanformer,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_expression_change.csv,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/evaluation/aspanformer_threshold_analysis.json,0.184,0.662,0.5980629539951574,0.988,0.888944,0.988,0.664,0.012,0.336,500,250,250,0.5599432700644386
face_multipie_500_expression_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,deepdetect,deepdetect,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_expression_change.csv,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/evaluation/deepdetect_threshold_analysis.json,0.1,0.688,0.6157635467980296,1.0,0.958608,1.0,0.624,0.0,0.376,500,250,250,0.6584614181327284
face_multipie_500_lighting_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side,loftr,loftr,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_lighting_change.csv,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/evaluation/loftr_threshold_analysis.json,0.028,0.972,0.9758064516129032,0.968,0.989448,0.968,0.024,0.032,0.976,500,250,250,0.5162172727804434
face_multipie_500_lighting_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side,orb,orb-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_lighting_change.csv,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/evaluation/orb-fingervein_threshold_analysis.json,0.148,0.784,0.9493670886075949,0.6,0.9187599999999999,0.6,0.032,0.4,0.968,500,250,250,0.31546170214318403
face_multipie_500_lighting_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side,sift,sift-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_lighting_change.csv,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/evaluation/sift-fingervein_threshold_analysis.json,0.094,0.836,0.9615384615384616,0.7,0.9494,0.7,0.028,0.3,0.972,500,250,250,0.32770178416924456
face_multipie_500_lighting_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side,superglue,superglue-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_lighting_change.csv,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/evaluation/superglue-fingervein_threshold_analysis.json,0.04,0.606,0.5595505617977528,0.996,0.9868479999999997,0.996,0.784,0.004,0.216,500,250,250,0.3733135686830794
face_multipie_500_lighting_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side,sgmnet,sgmnet-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_lighting_change.csv,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/evaluation/sgmnet-fingervein_threshold_analysis.json,0.048,0.954,1.0,0.908,0.97708,0.908,0.0,0.092,1.0,500,250,250,0.26264950620536187
face_multipie_500_lighting_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side,aspanformer,aspanformer,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_lighting_change.csv,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/evaluation/aspanformer_threshold_analysis.json,0.02,0.676,0.6067961165048543,1.0,0.99404,1.0,0.648,0.0,0.352,500,250,250,0.7000422074111692
face_multipie_500_lighting_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking and matched side,deepdetect,deepdetect,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_lighting_change.csv,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_lighting_change_masked_all_matchers_fingervein/evaluation/deepdetect_threshold_analysis.json,0.12,0.768,0.6925287356321839,0.964,0.9326960000000001,0.964,0.428,0.036,0.572,500,250,250,0.5772547526882275
face_multipie_500_nc_masked_all_matchers,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,loftr,loftr,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers/evaluation/loftr_threshold_analysis.json,0.344,0.546,0.8484848484848485,0.112,0.684904,0.112,0.02,0.888,0.98,500,250,250,0.18716034962324474
face_multipie_500_nc_masked_all_matchers,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,orb,orb,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers/evaluation/orb_threshold_analysis.json,0.482,0.516,0.6538461538461539,0.068,0.5186640000000001,0.068,0.036,0.932,0.964,500,250,250,0.05156182641189545
face_multipie_500_nc_masked_all_matchers,All matchers 500 faces Multi-PIE with masking and matched side and palmar/dorsal,sift,sift,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_nc.csv,bioverify/results/face_multipie_500_nc_masked_all_matchers/config.yaml,bioverify/results/face_multipie_500_nc_masked_all_matchers/summary.json,bioverify/results/face_multipie_500_nc_masked_all_matchers/evaluation/sift_threshold_analysis.json,0.464,0.536,0.9090909090909091,0.08,0.5360800000000001,0.08,0.008,0.92,0.992,500,250,250,0.031016816474449788
